"","AGE","LocFit","MEAN(of_boot)","0.05","0.95"
"310",6130,-0.265140605508553,-0.263354363854365,-0.438406900678757,-0.0922816469559927
"311",6150,-0.269562558022024,-0.267838952495332,-0.440465047066624,-0.0952419681038225
"312",6170,-0.274124591400376,-0.272474206916821,-0.44487872903512,-0.0991577066247716
"313",6190,-0.278813948133927,-0.277244705245806,-0.447315765562939,-0.108130432134101
"314",6210,-0.283617870712994,-0.282135025609258,-0.452327014121349,-0.113919620254135
"315",6230,-0.288523601627894,-0.28712974613415,-0.457378255102505,-0.118430920454746
"316",6250,-0.293518383368945,-0.292213444947452,-0.461436174235714,-0.122602158236702
"317",6270,-0.298589458426463,-0.29737052451525,-0.469737706767342,-0.122189487111721
"318",6290,-0.303724069290765,-0.30258406971977,-0.479109892900694,-0.123566356518103
"319",6310,-0.30890945845217,-0.307830694217158,-0.483327069421176,-0.125140345892989
"320",6330,-0.314132868400995,-0.313081257651004,-0.49167808192928,-0.128957393833091
"321",6350,-0.319368183587142,-0.318281195431716,-0.497367398760664,-0.131033523286955
"322",6370,-0.324116503435318,-0.322931854440929,-0.500759121514397,-0.135333739347951
"323",6390,-0.328150545521077,-0.326841055779304,-0.506755596346034,-0.143000581028381
"324",6410,-0.331498350606779,-0.330040498147379,-0.509140924045138,-0.145165913192083
"325",6430,-0.334187959454786,-0.332561880245694,-0.5097362137254,-0.144645347931331
"326",6450,-0.336247412827456,-0.334436900774787,-0.512967945552506,-0.143495719549196
"327",6470,-0.33770475148715,-0.335697258435199,-0.513655319290502,-0.148982745297104
"328",6490,-0.338588016196228,-0.336374651927467,-0.516442712945858,-0.149163177239555
"329",6510,-0.338925247717049,-0.336500779952132,-0.517683356845165,-0.150036149415876
"330",6530,-0.338744486811974,-0.336107341209733,-0.520323747056212,-0.143984637765752
"331",6550,-0.338073774243363,-0.335226034400808,-0.515929749267119,-0.143586834318701
"332",6570,-0.336941150773575,-0.333888558225896,-0.511916263674861,-0.140800213879411
"333",6590,-0.335374657164971,-0.332126611385538,-0.510949820174228,-0.137717382169648
"334",6610,-0.33340233417991,-0.329971892580272,-0.509684409898187,-0.138200445343587
"335",6630,-0.331052222580753,-0.327456100510638,-0.508686861186958,-0.134771573275105
"336",6650,-0.32835236312986,-0.324611270489144,-0.510953190269012,-0.127159939540272
"337",6670,-0.32533079658959,-0.321468933638085,-0.515314090555866,-0.117325243955557
"338",6690,-0.322015563722303,-0.318044433384907,-0.515264630732118,-0.118810117674412
"339",6710,-0.318434705290361,-0.314360918318386,-0.515403583173227,-0.111509763328078
"340",6730,-0.31460676276168,-0.310464165546861,-0.516627201217374,-0.10057446625534
"341",6750,-0.310448135892928,-0.306283825936982,-0.518782008754966,-0.0921402500263598
"342",6770,-0.305923610841444,-0.301777837421956,-0.519452009821289,-0.0801259188367003
"343",6790,-0.301021793306665,-0.296933366181764,-0.520718322639041,-0.0677432933333452
"344",6810,-0.295731288988025,-0.29173757839639,-0.522330502839433,-0.0600877148062929
"345",6830,-0.290040703584959,-0.286177640245817,-0.520648448087935,-0.0521744483101027
"346",6850,-0.283938642796903,-0.280240717910026,-0.517809173140945,-0.0443233657848068
"347",6870,-0.277413712323291,-0.273913977569,-0.511600934496403,-0.0356106151327394
"348",6890,-0.270454517863559,-0.267184585402723,-0.508283062799195,-0.0269071302075771
"349",6910,-0.263049665117143,-0.260039707591177,-0.50354372761767,-0.0183786370050329
"350",6930,-0.255187759783476,-0.252466510314344,-0.501314670984364,-0.0117118693284672
"351",6950,-0.246857407561995,-0.244452159752208,-0.498552073275691,-0.00412101424218434
"352",6970,-0.238047214152134,-0.235983822084751,-0.493919082677098,0.00394817018177341
"353",6990,-0.228745785253329,-0.227048663491955,-0.482504856415821,0.00963068287409535
"354",7010,-0.218941726565014,-0.217633934878912,-0.470514645306464,0.0200026224932532
"355",7030,-0.208623643786626,-0.207728079266137,-0.460947848770579,0.030382349436756
"356",7050,-0.197780142617598,-0.1973271460559,-0.451121143640899,0.035474671397356
"357",7070,-0.186399828757367,-0.186454560982095,-0.43884658536653,0.0390616791429552
"358",7090,-0.174471307905367,-0.175104974350555,-0.425394433437392,0.0444288010250077
"359",7110,-0.162041201114311,-0.163303212569794,-0.41015693217159,0.0511850899124936
"360",7130,-0.149411481969782,-0.151293919133058,-0.393487256908866,0.0583607921697929
"361",7150,-0.13670045985109,-0.139186008020508,-0.374870552560908,0.0638693301122828
"362",7170,-0.123994465975831,-0.127062805669283,-0.356424240338955,0.072350410792764
"363",7190,-0.111379831561604,-0.115007638516522,-0.338413900968246,0.0809149507421369
"364",7210,-0.0989428878260059,-0.103103832999367,-0.32262278646299,0.0898795797067617
"365",7230,-0.0867699659866346,-0.0914347155549571,-0.306247876607062,0.0961117699947183
"366",7250,-0.0749473972610876,-0.0800836126204317,-0.288601126617149,0.101456069744253
"367",7270,-0.0635615128669626,-0.069133850632931,-0.272204090105779,0.110537937638113
"368",7290,-0.0526986440218571,-0.058668756029595,-0.258620148044703,0.117832815396382
"369",7310,-0.0424451219433687,-0.0487716552475634,-0.243770339050588,0.124610652373187
